15.79311545	YES
13.195037	NO
11.73733096	NO
13.72138546	NO
17.53186788	YES
15.39517078	YES
13.29409954	NO
21.28200062	YES
15.33936356	YES
10.82360612	NO
20.06409029	YES
16.53069859	YES
10.71211637	NO
16.06118987	YES
13.82008463	NO
15.35635794	YES
16.29722413	YES
11.30516984	NO
16.41830296	YES
16.04845536	YES
7.756104608	NO
9.770271208	NO
15.29723575	YES
21.42167414	YES
16.12377635	YES
16.93386241	YES
31.12781528	YES
17.03250062	YES
15.34380076	YES
3.905991485	NO
29.09634848	YES
18.08489433	YES
20.49515689	YES
12.69404513	NO
17.49371293	YES
16.14730132	YES
26.93511272	YES
22.19486648	YES
13.88114738	NO
18.07166091	YES
5.512229998	NO
12.16798915	NO
14.23141636	NO
10.63835612	NO
11.71088361	NO
13.92379203	NO
18.72012507	YES
